tournament_id,event,dates,board_type,label,position,name,score,source_file
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,1,Divine Savior Holy Angels,+61,raw/miniboards/tleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,2,Prescott,+90,raw/miniboards/tleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,3,Middleton,+91,raw/miniboards/tleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,4,Arrowhead,+99,raw/miniboards/tleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,5,Brookfield East,+104,raw/miniboards/tleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,6,DeForest,+105,raw/miniboards/tleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,7,Kaukauna,+117,raw/miniboards/tleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,8,Hudson,+124,raw/miniboards/tleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,9,Bay Port,+134,raw/miniboards/tleaderboard_29296.html
29296,WIAA State Girls D1 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,10,Westosha Central,+153,raw/miniboards/tleaderboard_29296.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,1,Edgewood,+180,raw/miniboards/tleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,2,Spooner,+184,raw/miniboards/tleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,3,Catholic Memorial,+213,raw/miniboards/tleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,4,Seymour,+217,raw/miniboards/tleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,5,Hayward,+263,raw/miniboards/tleaderboard_29297.html
29297,WIAA State Girls D2 Golf Champion,Oct 14 - Oct 15 2024,team,Team Leaders,6,Freedom,+289,raw/miniboards/tleaderboard_29297.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,team,Team Leaders,1,Marquette,+8,raw/miniboards/tleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,team,Team Leaders,2,Hudson,+27,raw/miniboards/tleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,team,Team Leaders,3,Middleton,+33,raw/miniboards/tleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,team,Team Leaders,T4,Oconomowoc,+41,raw/miniboards/tleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,team,Team Leaders,T4,Edgerton,+41,raw/miniboards/tleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,team,Team Leaders,6,DeForest,+43,raw/miniboards/tleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,team,Team Leaders,7,Homestead,+46,raw/miniboards/tleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,team,Team Leaders,8,De Pere,+47,raw/miniboards/tleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,team,Team Leaders,9,Wausau East,+58,raw/miniboards/tleaderboard_29417.html
29417,2025 WIAA Boys Championship - D1,Jun 8 - Jun 10 2025,team,Team Leaders,10,Germantown,+63,raw/miniboards/tleaderboard_29417.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,team,Team Leaders,1,Seymour,+62,raw/miniboards/tleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,team,Team Leaders,2,Cambridge,+77,raw/miniboards/tleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,team,Team Leaders,3,Big Foot,+81,raw/miniboards/tleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,team,Team Leaders,4,Lakeland,+89,raw/miniboards/tleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,team,Team Leaders,5,Catholic Memorial,+91,raw/miniboards/tleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,team,Team Leaders,6,University School of Milwaukee,+95,raw/miniboards/tleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,team,Team Leaders,7,Prescott,+99,raw/miniboards/tleaderboard_29418.html
29418,2025 WIAA Boys Championship - D2,Jun 8 - Jun 10 2025,team,Team Leaders,8,Xavier,+105,raw/miniboards/tleaderboard_29418.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,team,Team Leaders,1,Durand-Arkansaw,+75,raw/miniboards/tleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,team,Team Leaders,2,Chetek-Weyerhaeuser,+85,raw/miniboards/tleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,team,Team Leaders,3,St. Mary's Springs,+89,raw/miniboards/tleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,team,Team Leaders,4,Prentice,+102,raw/miniboards/tleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,team,Team Leaders,5,Cochrane-Fountain City,+113,raw/miniboards/tleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,team,Team Leaders,6,Sheboygan Lutheran,+117,raw/miniboards/tleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,team,Team Leaders,7,Marathon,+163,raw/miniboards/tleaderboard_29422.html
29422,2025 WIAA Boys Championship - D3,Jun 8 - Jun 10 2025,team,Team Leaders,8,Bonduel,+196,raw/miniboards/tleaderboard_29422.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,team,Team Leaders,1,Japan,-32,raw/miniboards/tleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,team,Team Leaders,2,United States,-30,raw/miniboards/tleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,team,Team Leaders,3,France,-20,raw/miniboards/tleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,team,Team Leaders,4,Korea,-18,raw/miniboards/tleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,team,Team Leaders,5,Colombia,-16,raw/miniboards/tleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,team,Team Leaders,6,England,-14,raw/miniboards/tleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,team,Team Leaders,T7,New Zealand,-13,raw/miniboards/tleaderboard_29433.html
