type_code,event_id,dates,event,url,year,event_family
I,2239,May 09 - May 13 2011,Texas UIL State Golf Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2239,2011,Other
I,2149,Apr 21 - Apr 23 2011,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2149,2011,Other
I,2048,Dec 27 - Dec 30 2010,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=2048,2010,Junior Orange Bowl
I,1982,Oct 11 - Oct 12 2010,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1982,2010,Other
I,1814,Oct 08 - Oct 09 2010,Leachman/KHSAA Boys' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1814,2010,Other
I,1815,Oct 05 - Oct 06 2010,Leachman/KHSAA Girls State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1815,2010,Other
I,1981,Oct 01 - Oct 02 2010,38th Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1981,2010,Other
I,1669,Jun 15 - Jun 16 2010,74th Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1669,2010,Other
I,1661,Jun 07 - Jun 08 2010,2010 Wisconsin Boys' State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1661,2010,Other
I,1659,May 17 - May 18 2010,OSAA-US Bank-Les Schwab Tires State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1659,2010,Other
I,1660,May 10 - May 14 2010,Texas UIL State Golf Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1660,2010,Other
I,1590,Apr 01 - Apr 03 2010,Palmetto High School Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1590,2010,Other
I,1555,Dec 27 - Dec 30 2009,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1555,2009,Junior Orange Bowl
I,1473,Oct 12 - Oct 13 2009,Wisconsin Girls State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1473,2009,Other
I,1451,Oct 09 - Oct 10 2009,Leachman/KHSAA Girls' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1451,2009,Other
I,1450,Oct 06 - Oct 07 2009,Leachman/KHSAA Boys' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1450,2009,Other
I,1472,Oct 02 - Oct 03 2009,37th Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1472,2009,Other
I,1263,Jun 16 - Jun 17 2009,73rd Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1263,2009,Other
I,1179,Jun 08 - Jun 09 2009,2009 Wisconsin Boys' State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1179,2009,Other
I,1252,May 18 - May 19 2009,OSAA US Bank Les Schwab Tires State Champ.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1252,2009,Other
I,1254,Apr 17 - Apr 18 2009,Tri-State Invitational,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1254,2009,Other
I,1158,Dec 27 - Dec 30 2008,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1158,2008,Junior Orange Bowl
I,1080,Oct 13 - Oct 14 2008,Wisconsin Girls' State Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1080,2008,Other
I,1079,Oct 10 - Oct 11 2008,Leachman /KHSAA Boys' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1079,2008,Other
I,1078,Oct 07 - Oct 09 2008,Leachman /KHSAA Girls' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1078,2008,Other
I,1103,Oct 03 - Oct 04 2008,36th Indiana High School Girls State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1103,2008,Other
I,1049,Jun 10 - Jun 11 2008,72nd Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1049,2008,Other
I,1043,May 12 - May 13 2008,OSAA US Bank Les Schwab Tires State Champ.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1043,2008,Other
I,1001,Dec 27 - Dec 30 2007,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=1001,2007,Junior Orange Bowl
I,892,Oct 05 - Oct 06 2007,Leachman Buick&GMC/KHSAA Girls' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=892,2007,Other
I,891,Oct 02 - Oct 03 2007,Leachman Buick&GMC/KHSAA Boys' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=891,2007,Other
I,905,Sep 28 - Sep 29 2007,35th Indiana Girls High School State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=905,2007,Other
I,851,Jun 12 - Jun 13 2007,71st Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=851,2007,Other
I,850,May 14 - May 15 2007,OSAA US Bank Les Schwab Tires State Champ.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=850,2007,Other
I,758,Dec 27 - Dec 30 2006,Junior Orange Bowl International Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=758,2006,Junior Orange Bowl
I,693,Oct 06 - Oct 07 2006,Leachman Buick&GMC/KHSAA Boys' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=693,2006,Other
I,692,Oct 03 - Oct 04 2006,Leachman Buick&GMC/KHSAA Girls' State Tournament,https://score.golfstat.com/eventlist.cfm?type=I&eventid=692,2006,Other
I,741,Sep 29 - Sep 30 2006,34th Indiana Girls High School State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=741,2006,Other
