tournament_id,event,course,location,dates,position,player,affiliation,to_par,today,r1,r2,r3,r4,total,round_sum,total_delta,source_file
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T57,Emerson Ihde,Oconomowoc,+41,+23,90,95,,,185,185,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",59,Macy Clegg,Brookfield East,+42,+22,92,94,,,186,186,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T60,Shivani Sharma,Brookfield East,+44,+23,93,95,,,188,188,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T60,Emma Holzmacher,Brookfield East,+44,+27,89,99,,,188,188,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T62,P. Dudra/ J. Cahill,Bay Port,+46,+14,104,86,,,190,190,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T62,Lydia Duffey,Hudson,+46,+21,97,93,,,190,190,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T64,Alexa Reed,Arrowhead,+49,+16,105,88,,,193,193,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T64,Clara Schomin,Kaukauna,+49,+28,93,100,,,193,193,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",66,Emily Mallace,Westosha Central,+50,+23,99,95,,,194,194,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T67,Addison Kumpfer,Westosha Central,+53,+29,96,101,,,197,197,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T67,K Kolosso S Olson,Kaukauna,+53,+31,94,103,,,197,197,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",69,Jordan Perry,Bay Port,+55,+32,95,104,,,199,199,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",70,Sami Baldauf,DeForest,+56,+33,95,105,,,200,200,0,raw/junior_event_pages/player_29296.html
